id,name,platform,year,genre,publisher,physical_sales,digital_sales,metascore,userscore,has_digital,1980_physical,1981_physical,1982_physical,1983_physical,1984_physical,1985_physical,1986_physical,1987_physical,1988_physical,1989_physical,1990_physical,1991_physical,1992_physical,1993_physical,1994_physical,1995_physical,1996_physical,1997_physical,1998_physical,1999_physical,2000_physical,2001_physical,2002_physical,2003_physical,2004_physical,2005_physical,2006_physical,2007_physical,2008_physical,2009_physical,2010_physical,2011_physical,2012_physical,2013_physical,2014_physical,2015_physical,2016_physical,2017_physical,1980_digital,1981_digital,1982_digital,1983_digital,1984_digital,1985_digital,1986_digital,1987_digital,1988_digital,1989_digital,1990_digital,1991_digital,1992_digital,1993_digital,1994_digital,1995_digital,1996_digital,1997_digital,1998_digital,1999_digital,2000_digital,2001_digital,2002_digital,2003_digital,2004_digital,2005_digital,2006_digital,2007_digital,2008_digital,2009_digital,2010_digital,2011_digital,2012_digital,2013_digital,2014_digital,2015_digital,2016_digital,2017_digital
1189,River Raid,2600,1981,Shooter,Activision,1.6,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,Donkey Kong,2600,1981,Platform,Coleco,1.46,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470,Centipede,2600,1981,Shooter,Atari,1.36,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,Atlantis,2600,1981,Shooter,Imagic,1.27,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,Megamania,2600,1981,Shooter,Activision,1.1,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,Cosmic Ark,2600,1981,Shooter,Imagic,1.05,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2209,Donkey Kong Junior,2600,1981,Platform,Atari,0.97,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2298,Spider-Man,2600,1981,Action,Parker Bros.,0.93,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,Custer's Revenge,2600,1981,Action,Mystique,0.82,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2667,Alien,2600,1981,Action,20th Century Fox Video Games,0.79,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,Air Raid,2600,1981,Action,Men-A-Vision,0.77,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,Berzerk,2600,1981,Shooter,Atari,0.73,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,King Kong,2600,1981,Action,Tigervision,0.69,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
